query_id	doc_id		doc_score_a
1		1268		6
1		14		5
1		184		5
1		486		5
1		12		4
1		51		4
1		172		4
1		195		4
1		311		4
1		329		4
1		576		4
1		588		4
1		792		4
1		878		4
1		1246		4
1		1313		4
1		2		3
1		13		3
1		24		3
1		25		3
1		29		3
1		36		3
1		78		3
1		82		3
1		101		3
1		141		3
1		152		3
1		197		3
1		209		3
1		212		3
1		236		3
1		244		3
1		252		3
1		296		3
1		328		3
1		345		3
1		364		3
1		373		3
1		374		3
1		416		3
1		435		3
1		441		3
1		526		3
1		540		3
1		552		3
1		573		3
1		658		3
1		675		3
1		721		3
1		746		3
1		747		3
1		798		3
1		801		3
1		880		3
1		914		3
1		917		3
1		987		3
1		1003		3
1		1051		3
1		1072		3
1		1088		3
1		1144		3
1		1147		3
1		1180		3
1		1218		3
1		1239		3
1		1244		3
1		1248		3
1		1300		3
1		1361		3
1		1362		3
1		28		2
1		32		2
1		34		2
1		38		2
1		42		2
1		52		2
1		58		2
1		62		2
1		67		2
1		69		2
1		83		2
1		85		2
1		89		2
1		92		2
1		96		2
1		103		2
1		104		2
1		124		2
1		125		2
1		158		2
1		169		2
1		177		2
1		187		2
1		198		2
1		202		2
1		203		2
1		204		2
1		206		2
1		211		2
1		214		2
1		216		2
1		229		2
1		230		2
1		232		2
1		239		2
1		251		2
1		262		2
1		263		2
1		274		2
1		280		2
1		283		2
1		284		2
1		285		2
1		292		2
1		293		2
1		300		2
1		302		2
1		309		2
1		315		2
1		319		2
1		321		2
1		332		2
1		352		2
1		370		2
1		378		2
1		404		2
1		429		2
1		430		2
1		439		2
1		453		2
1		456		2
1		476		2
1		481		2
1		493		2
1		502		2
1		511		2
1		519		2
1		520		2
1		572		2
1		578		2
1		593		2
1		603		2
1		606		2
1		624		2
1		629		2
1		637		2
1		640		2
1		663		2
1		665		2
1		673		2
1		681		2
1		683		2
1		685		2
1		686		2
1		695		2
1		700		2
1		701		2
1		710		2
1		712		2
1		717		2
1		719		2
1		724		2
1		726		2
1		740		2
1		755		2
1		759		2
1		799		2
1		828		2
1		858		2
1		874		2
1		875		2
1		876		2
1		903		2
1		908		2
1		911		2
1		916		2
1		939		2
1		945		2
1		946		2
1		962		2
1		976		2
1		982		2
1		986		2
1		991		2
1		998		2
1		1012		2
1		1042		2
1		1043		2
1		1063		2
1		1074		2
1		1087		2
1		1089		2
1		1095		2
1		1098		2
1		1101		2
1		1110		2
1		1111		2
1		1134		2
1		1155		2
1		1167		2
1		1168		2
1		1169		2
1		1203		2
1		1213		2
1		1225		2
1		1250		2
1		1260		2
1		1263		2
1		1282		2
1		1295		2
1		1303		2
1		1304		2
1		1315		2
1		1320		2
1		1321		2
1		1325		2
1		1328		2
1		1335		2
1		1338		2
1		1347		2
1		1356		2
1		1380		2
1		1391		2
1		1396		2
1		7		1
1		9		1
1		19		1
1		20		1
1		27		1
1		33		1
1		35		1
1		44		1
1		47		1
1		53		1
1		56		1
1		57		1
1		59		1
1		61		1
1		66		1
1		70		1
1		71		1
1		75		1
1		76		1
1		79		1
1		80		1
1		84		1
1		87		1
1		94		1
1		95		1
1		100		1
1		102		1
1		105		1
1		108		1
1		110		1
1		112		1
1		114		1
1		116		1
1		117		1
1		120		1
1		122		1
1		123		1
1		129		1
1		131		1
1		135		1
1		138		1
1		139		1
1		140		1
1		142		1
1		145		1
1		149		1
1		151		1
1		154		1
1		155		1
1		156		1
1		159		1
1		160		1
1		163		1
1		165		1
1		168		1
1		170		1
1		173		1
1		174		1
1		180		1
1		183		1
1		186		1
1		189		1
1		192		1
1		193		1
1		199		1
1		201		1
1		205		1
1		208		1
1		213		1
1		215		1
1		217		1
1		218		1
1		219		1
