query_id	doc_id		doc_score_b
1		792		13
1		1268		13
1		12		12
1		51		12
1		588		11
1		1144		11
1		486		10
1		14		9
1		156		9
1		184		9
1		576		9
1		13		8
1		114		8
1		686		8
1		717		8
1		914		8
1		25		7
1		82		7
1		252		7
1		435		7
1		1169		7
1		1341		7
1		100		6
1		172		6
1		193		6
1		315		6
1		658		6
1		685		6
1		878		6
1		1147		6
1		52		5
1		69		5
1		141		5
1		195		5
1		232		5
1		244		5
1		253		5
1		329		5
1		453		5
1		540		5
1		552		5
1		593		5
1		747		5
1		798		5
1		876		5
1		1168		5
1		1313		5
1		1338		5
1		1392		5
1		29		4
1		42		4
1		56		4
1		57		4
1		78		4
1		92		4
1		152		4
1		197		4
1		202		4
1		204		4
1		211		4
1		216		4
1		236		4
1		262		4
1		280		4
1		300		4
1		311		4
1		327		4
1		359		4
1		364		4
1		373		4
1		423		4
1		429		4
1		430		4
1		494		4
1		573		4
1		606		4
1		624		4
1		675		4
1		712		4
1		721		4
1		746		4
1		801		4
1		811		4
1		858		4
1		874		4
1		880		4
1		962		4
1		1035		4
1		1063		4
1		1072		4
1		1088		4
1		1098		4
1		1157		4
1		1167		4
1		1239		4
1		1244		4
1		1246		4
1		1263		4
1		1300		4
1		1361		4
1		1385		4
1		2		3
1		24		3
1		36		3
1		61		3
1		83		3
1		94		3
1		96		3
1		101		3
1		138		3
1		155		3
1		158		3
1		209		3
1		212		3
1		213		3
1		214		3
1		283		3
1		285		3
1		296		3
1		299		3
1		302		3
1		309		3
1		316		3
1		328		3
1		332		3
1		345		3
1		349		3
1		374		3
1		378		3
1		416		3
1		439		3
1		441		3
1		481		3
1		493		3
1		526		3
1		578		3
1		643		3
1		663		3
1		665		3
1		687		3
1		700		3
1		710		3
1		732		3
1		755		3
1		758		3
1		799		3
1		884		3
1		917		3
1		936		3
1		946		3
1		976		3
1		977		3
1		982		3
1		987		3
1		991		3
1		1003		3
1		1042		3
1		1051		3
1		1074		3
1		1089		3
1		1111		3
1		1155		3
1		1165		3
1		1166		3
1		1180		3
1		1186		3
1		1191		3
1		1218		3
1		1225		3
1		1226		3
1		1248		3
1		1303		3
1		1315		3
1		1320		3
1		1328		3
1		1356		3
1		1362		3
1		1380		3
1		1387		3
1		28		2
1		32		2
1		33		2
1		34		2
1		38		2
1		47		2
1		53		2
1		58		2
1		62		2
1		67		2
1		85		2
1		89		2
1		102		2
1		103		2
1		104		2
1		108		2
1		112		2
1		124		2
1		125		2
1		129		2
1		131		2
1		139		2
1		140		2
1		154		2
1		168		2
1		169		2
1		174		2
1		177		2
1		180		2
1		187		2
1		198		2
1		203		2
1		206		2
1		219		2
1		229		2
1		230		2
1		239		2
1		240		2
1		251		2
1		263		2
1		267		2
1		274		2
1		276		2
1		284		2
1		292		2
1		293		2
1		297		2
1		319		2
1		321		2
1		352		2
1		357		2
1		370		2
1		375		2
1		383		2
1		394		2
1		404		2
1		415		2
1		420		2
1		431		2
1		442		2
1		456		2
1		464		2
1		476		2
1		490		2
1		497		2
1		502		2
1		511		2
1		513		2
1		519		2
1		520		2
1		557		2
1		562		2
1		571		2
1		572		2
1		577		2
1		603		2
1		629		2
1		634		2
1		636		2
1		637		2
1		640		2
1		644		2
1		673		2
1		681		2
1		683		2
1		695		2
1		701		2
1		711		2
1		719		2
1		724		2
1		726		2
1		740		2
1		744		2
1		756		2
1		759		2
1		768		2
1		781		2
1		824		2
1		828		2
1		857		2
1		865		2
1		875		2
1		881		2
1		883		2
1		894		2
1		903		2
1		908		2
1		911		2
1		916		2
1		939		2
1		945		2
1		986		2
1		998		2
1		999		2
1		1012		2
1		1015		2
1		1043		2
1		1087		2
1		1095		2
1		1101		2
1		1110		2
1		1115		2
1		1134		2
1		1143		2
1		1158		2
1		1163		2
1		1178		2
1		1184		2
1		1197		2
1		1203		2
1		1213		2
1		1219		2
1		1230		2
1		1241		2
1		1250		2
1		1252		2
1		1260		2
1		1271		2
1		1277		2
1		1282		2
1		1292		2
1		1295		2
1		1304		2
1		1314		2
1		1321		2
1		1325		2
1		1335		2
1		1337		2
1		1346		2
1		1347		2
1		1381		2
1		1391		2
1		1393		2
1		1396		2
1		7		1
1		9		1
1		19		1
1		20		1
1		27		1
1		35		1
1		44		1
1		59		1
1		66		1
1		70		1
1		71		1
1		75		1
1		76		1
1		79		1
1		80		1
1		84		1
1		87		1
1		95		1
1		105		1
1		110		1
1		116		1
1		117		1
1		120		1
1		122		1
1		123		1
1		135		1
1		142		1
1		145		1
1		149		1
1		151		1
1		159		1
1		160		1
1		163		1
1		165		1
1		170		1
1		173		1
1		183		1
1		186		1
1		189		1
1		192		1
1		199		1
1		201		1
1		205		1
1		208		1
1		215		1
1		217		1
1		218		1
1		220		1
1		222		1
1		223		1
1		234		1
1		237		1
1		238		1
1		243		1
1		245		1
1		248		1
1		249		1
1		255		1
1		260		1
1		264		1
1		272		1
1		287		1
1		288		1
1		303		1
1		304		1
1		308		1
1		314		1
1		347		1
1		348		1
1		353		1
1		360		1
1		363		1
1		380		1
1		388		1
1		390		1
1		391		1
1		392		1
1		395		1
1		397		1
1		401		1
1		406		1
